Serviço,Data,Chamados
Redes::Acesso externo,01/01/2018,2
Redes::Acesso externo,01/12/2017,3
Redes::Acesso externo,01/11/2017,4
Redes::Suporte especializado em redes,01/11/2017,1
Redes::Acesso externo,01/10/2017,6
Redes::Acesso externo,01/09/2017,2
Redes::Acesso externo,01/08/2017,2
Redes::Internet cabeada,01/08/2017,1
Redes::Acesso externo,01/07/2017,1
Redes::Acesso externo,01/06/2017,3
Redes::Internet cabeada,01/06/2017,5
Redes::Suporte especializado em redes,01/06/2017,1
Redes::Acesso externo,01/05/2017,5
Redes::Internet cabeada,01/05/2017,2
Redes::Internet cabeada,01/04/2017,1
Redes::Acesso externo,01/04/2017,3
Redes::Acesso externo,01/03/2017,2
Redes::Acesso externo,01/02/2017,5
Redes::Suporte especializado em redes,01/02/2017,4
Redes::Acesso externo,01/01/2017,3
Redes::Suporte especializado em redes,01/01/2017,7
Redes::Acesso externo,01/12/2016,1
Redes::Suporte especializado em redes,01/11/2016,5
Redes::Acesso externo,01/11/2016,2
Redes::Acesso externo,01/10/2016,4
Redes::Internet cabeada,01/10/2016,2
Redes::Suporte especializado em redes,01/09/2016,5
Redes::Internet cabeada,01/09/2016,1
Redes::Suporte especializado em redes,01/08/2016,8
Redes::Internet cabeada,01/08/2016,1
Redes::Acesso externo,01/08/2016,1
Redes::Suporte especializado em redes,01/07/2016,4
Redes::Internet cabeada,01/07/2016,2
Redes::Acesso externo,01/07/2016,1
